2026-05-18	Baty, Brett	WSH	451
2026-05-19	Devers, Rafael	AZ	441
2026-05-20	Stewart, Sal	PHI	441
2026-05-21	Harris II, Michael	MIA	418
2026-05-22	Soto, Juan	MIA	449
2026-05-23	Lowe, Nathaniel	CIN	435
2026-05-24	Cowser, Colton	BAL	440
2026-05-25	Arozarena, Randy	ATH	437
2026-05-26	Smith, Cam	TEX	457
2026-05-27	Alvarez, Yordan	TEX	448
2026-05-28	Jung, Josh	TEX	424
2026-05-29	Cruz, Oneil	PIT	450
2026-05-30	Tatis Jr., Fernando	WSH	451
2026-05-31	Eldridge, Bryce	COL	453
2026-06-01	Vilade, Ryan	TB	438
2026-06-02	Castro, Willi	LAA	433
2026-06-03	Thomas, Colby	CHC	426
2026-06-04	Happ, Ian	CHC	446
2026-06-05	Cox, Jonah	CHC	446
2026-06-06	Canzone, Dominic	DET	451
2026-06-07	Sánchez, Gary	COL	447
2026-06-08	Contreras, William	ATH	463
2026-06-09	Bolte, Henry	ATH	446
2026-06-10	Butler, Lawrence	ATH	463
2026-06-11	Nootbaar, Lars	NYM	445
2026-06-12	Kurtz, Nick	ATH	471
2026-06-13	Walker, Jordan	MIN	454
2026-06-14	Soderstrom, Tyler	ATH	462
2026-06-15	Crow-Armstrong, Pete	CHC	434
2026-06-16	Baldwin, Drake	ATL	473
2026-06-17	Ozuna, Marcell	ATH	448
2026-06-18	McMahon, Ryan	NYY	430
2026-06-19	Siri, Jose	ATH	444
2026-06-20	Schwarber, Kyle	PHI	457
2026-06-21	Caglianone, Jac	KC	444
2026-06-22	Troy, Tommy	STL	444
2026-06-23	Abreu, Wilyer	COL	443
2026-06-24	Bericoto, Victor	SF	445
2026-06-25	Bericoto, Victor	SF	445
2026-06-26	Goodman, Hunter	MIN	451
2026-06-27	Heim, Jonah	LAA	445
2026-06-28	Caminero, Junior	TB	463
2026-06-29	Goodman, Hunter	COL	442
2026-06-30	Caissie, Owen	COL	453
2026-07-01	Bell, Josh	HOU	452
2026-07-02	Jensen, Carter	KC	449
2026-07-03	Kurtz, Nick	ATH	457
2026-07-04	Eldridge, Bryce	COL	458
2026-07-05	Devers, Rafael	COL	463
2026-07-06	Wood, James	WSH	446
2026-07-07	Keith, Colt	DET	427
2026-07-08	Burleson, Alec	STL	443
2026-07-09	Arias, Gabriel	MIN	442
2026-07-10	Alvarez, Yordan	TEX	455
2026-07-11	Mayo, Coby	BAL	440
2026-07-12	Taveras, Leody	BAL	448
2026-07-14	Vargas, Miguel	NL	433
2026-07-16	Alvarez, Francisco	PHI	416
2026-07-17	Chaparro, Andrés	ATH	467
2026-07-18	Rumfield, TJ	COL	456
2026-07-19	Stewart, Sal	COL	456
2026-07-20	Perez, Salvador	KC	440
2026-07-21	Tatis Jr., Fernando	ATL	474
2026-07-22	Merrill, Jackson	ATL	449
2026-07-23	Bailey, Patrick	CLE	420
2026-07-24	Suárez, Eugenio	STL	435
2026-07-25	Wells, Austin	PHI	430
2026-07-26	Adell, Jo	SF	446
2026-07-27	Duran, Ezequiel	TEX	436
2026-07-28	Springer, George	WSH	437
2026-07-29	Monasterio, Andruw	ATH	428
2026-07-30	García Jr., Luis	ATL	455
2026-07-31	Caminero, Junior	TB	453
2026-08-01	Perez, Salvador	COL	425
2026-08-02	Abreu, Wilyer	LAD	431
2026-08-03	Moniak, Mickey	COL	447
2026-08-04	Benge, Carson	CLE	451
2026-08-05	Tatis Jr., Fernando	AZ	465
2026-08-06	Olson, Matt	ATL	422
2026-08-07	Pages, Andy	AZ	425
2026-08-08	Caglianone, Jac	KC	448
2026-08-09	Schwarber, Kyle	PHI	448
2026-08-10	Gelof, Zack	ATH	456
2026-08-11	Encarnacion-Strand, Christian	MIN	460
2026-08-12	Riley, Austin	ATL	438
2026-08-13	Muncy, Max	LAD	426
2026-08-14	Burger, Jake	ATH	428
2026-08-15	Báez, Joshua	CHC	449
2026-08-16	Vilade, Ryan	TB	441
2026-08-17	Mayo, Coby	TB	468
2026-08-18	Adell, Jo	CLE	455
2026-08-19	Rice, Ben	BAL	447
2026-08-20	Cameron, Daz	TB	442
2026-08-21	Contreras, Willson	BOS	452
2026-08-22	Adell, Jo	COL	450
2026-08-23	Schwarber, Kyle	PHI	459
2026-08-24	Conforto, Michael	AZ	431
2026-08-25	Encarnacion-Strand, Christian	STL	450
2026-08-26	Goodman, Hunter	WSH	435
2026-08-27	Mayo, Coby	STL	441
2026-08-28	House, Brady	WSH	445
2026-08-29	Aranda, Jonathan	TB	453
2026-08-30	Caminero, Junior	TB	440
2026-08-31	Stott, Bryson	AZ	464
2026-09-01	Lewis, Royce	MIN	427
2026-09-02	Foscue, Justin	TEX	424
2026-09-03	Jensen, Carter	KC	440
2026-09-04	Bell, Josh	CWS	460
2026-09-05	Acuña Jr., Ronald	PHI	450
2026-09-06	Moniak, Mickey	COL	436
2026-09-07	Burleson, Alec	SF	431
2026-09-08	Montes, Lazaro	SEA	474
2026-09-09	Chourio, Jackson	MIL	436
2026-09-10	Cruz, Oneil	CWS	433
2026-09-11	Martínez, Angel	MIN	445
2026-09-12	Langford, Wyatt	AZ	435
2026-09-13	Seager, Corey	AZ	458
2026-09-14	De La Cruz, Elly	CIN	457
2026-09-15	Eldridge, Bryce	STL	461
2026-09-16	Salas, Ethan	COL	426
2026-09-17	Bogaerts, Xander	COL	441
2026-09-18	Anthony, Roman	TB	438
2026-09-19	Raleigh, Cal	COL	459
2026-09-20	Jones, Spencer	AZ	448
2026-09-21	Báez, Javier	DET	426
2026-09-22	Moniak, Mickey	COL	431
