season,book,rule,tickets,staked,net,roi,ci_lo,ci_hi,singles_roi,singles_hit,moon_roi,moon_cash,median_leg,pct_legs_over500
2025,weak,mkt50_nocap,422,566.0,283.1,0.500157906360424,0.15347841994968295,0.8732541402415307,0.14046762589928055,0.4172661870503597,0.8473589409722222,0.4305555555555556,170,0.0
2025,weak,new_w50_nocap,397,541.0,217.3,0.4017190388170055,-0.015135426818278896,0.8025359048245896,0.5632411067193676,0.2608695652173913,0.2598263888888889,0.16666666666666666,520,0.5401459854014599
2025,weak,new_w50_cap800,399,543.0,342.1,0.6299781307550645,0.14813687736516562,1.1890110329673163,0.4178431372549019,0.2627450980392157,0.8178059895833334,0.16666666666666666,480,0.45269286754002913
2025,weak,new_w50_cap500,386,530.0,483.1,0.9115474056603774,0.209899496488589,1.6663567348710309,0.3714876033057852,0.30991735537190085,1.36534765625,0.2222222222222222,370,0.0
2025,weak,new_w50_cap400,374,518.0,337.3,0.6512497586872587,0.21366975399252836,1.150487033971406,0.0697826086956522,0.26521739130434785,1.1156158854166667,0.24305555555555555,320,0.0
2025,weak,new_w50_cap300,342,486.0,309.4,0.6367012602880658,0.23423625558179864,1.0322127092050206,0.14772727272727273,0.3484848484848485,0.9728708767361111,0.3194444444444444,240,0.0
2025,weak,new_w100_cap500,387,531.0,583.8,1.099527306967985,0.5492096832084894,1.7385169209728093,0.42325102880658433,0.31275720164609055,1.6701354166666669,0.24305555555555555,370,0.0
2025,weak,new_w0_cap500,399,543.0,-41.2,-0.07585589318600366,-0.3676704262371928,0.2359592323327079,-0.00980392156862745,0.27058823529411763,-0.13433940972222222,0.1736111111111111,330,0.0
2025,same,old_rawEV_nocap,373,507.0,-90.5,-0.17857001972386585,-0.5121804098760859,0.24510141762452087,-0.007949790794979058,0.1297071129707113,-0.33072761194029854,0.07462686567164178,720,0.9609984399375975
2025,same,mkt50_nocap,410,554.0,20.2,0.03652008122743683,-0.16108885122349048,0.24389110216627616,-0.059962406015037606,0.37593984962406013,0.1256323784722222,0.3611111111111111,140,0.0
2025,same,new_w50_nocap,391,535.0,-67.9,-0.12683177570093457,-0.44190483928065705,0.20871361465892102,0.17975708502024287,0.17408906882591094,-0.38977430555555553,0.06944444444444445,700,0.8350515463917526
2025,same,new_w50_cap800,389,533.0,-132.3,-0.24824577861163227,-0.490718814556932,0.008478263376383742,0.0008163265306122565,0.17551020408163265,-0.4601215277777777,0.0625,610,0.7562776957163959
